# Checking Time				
Protocol	"+reuse +minimize"	"-reuse +minimize"	"+reuse -minimize"	"-reuse -minimize"
CR_paper	7.190527	7.864301	7.747032	7.302657
NS_Public	13.931356	26.852176	13.666450	51.620092
WMF	15.016675	19.395634	16.106689	19.343786
BKE	25.167991	28.108576	18.490366	46.408191
Yahalom2	31.479984	66.351897	39.149443	108.477812
OtwayRees	44.731587	76.471437	420.403846	1007.898501
# DenningSacco	60.796276	124.645695	79.219827	232.101206
TLS	64.358986	267.583709	316.486095	3028.273874
WooLam	108.958921	547.421620	127.587963	-
KerberosV	136.514902	680.944989	0	-
# the 0 in KerberosV is a hack to ensure its label is plotted (stupid gnuplot ;-)
