# Generation Time				
Protocol	"+reuse +minimize"	"-reuse +minimize"	"+reuse -minimize"	"-reuse -minimize"
CR_paper	0.003801	0.002700	0.002111	0.003100
NS_Public	0.017453	0.376285	0.016597	0.093467
WMF	0.010760	0.012320	0.006655	0.011424
BKE	0.042240	0.114169	0.051544	0.059411
Yahalom2	0.110368	1.187505	0.028332	0.100809
OtwayRees	0.810729	3.029648	0.573704	1.386407
# DenningSacco	0.095118	0.869683	0.055807	0.215208
TLS	0.241743	16.125055	0.095930	0.785391
WooLam	0.480088	12505.520000	0.118230	28.178706
KerberosV	1.701403	52396.570000	0.387432	-
